,exercise,submission_amount,aborted,errored,failed,passed,passed_with_warnings,pending,running
197,Persona con más de cuatro letras,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115,Persona que tomó cantidad par de bebidas,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,Datos de una serie en base al nombre,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
184,Bebidas alcohólicas,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
121,ejemploDeBusquedaOrdenada,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,Personas borrachas,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
119,The numbers,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,Lo básico,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,Mantenimiento,5,0.0,0.8,0.0,0.2,0.0,0.0,0.0
94,Sobre los posts,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,Quiénes están borrachos,6,0.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,0.0
22,Graduación alcohólica de una bebida,7,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0
157,Serie con gran elenco,7,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0
243,mayor y menor,7,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0
273,Dúo de estrellas,8,0.0,0.75,0.0,0.25,0.0,0.0,0.0
182,inferencia,9,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0
109,Function composition,9,0.0,0.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0
28,Ordenar deptos,9,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,0.0,0.0
150,Alcohol en sangre de una persona,10,0.0,0.3,0.3,0.4,0.0,0.0,0.0
81,¿Cuáles series...?,10,0.0,0.8,0.0,0.1,0.1,0.0,0.0
186,Consulta,10,0.0,0.4,0.0,0.6,0.0,0.0,0.0
146,Datos de los que van a la disco,11,0.0,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.0,0.0
189,Inversa,12,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0
45,Triple,13,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.0
232,Cubo,13,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.0
123,Only even should pass,16,0.0,0.4375,0.25,0.125,0.1875,0.0,0.0
255,cumpleBusqueda,16,0.0,0.125,0.5625,0.3125,0.0,0.0,0.0
89,mailsDePersonasInteresadas,19,0.0,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.0,0.0,0.0
13,"Generalizando a ap, tercera parte",21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Series ordenadas por criterio,22,0.0,0.2727272727272727,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.0,0.0
25,¡Esto es un descontrol!,25,0.0,0.2,0.16,0.64,0.0,0.0,0.0
