,exercise,precision,recall,f1-score,amount_tested,submission_amount
1,Descontrolarse,0.50,0.49,0.49,43,107
2,"validarIguales, sobre validados",0.58,0.65,0.60,48,119
3,quienesPueden,0.63,0.58,0.59,52,129
4,Alcohol en Sangre con fold,0.72,0.71,0.71,52,130
5,positivosYNegativos,0.61,0.52,0.52,60,148
6,Pedir bebida,0.53,0.57,0.55,60,149
7,Composción,0.63,0.52,0.52,61,151
8,validarIguales,0.71,0.70,0.70,66,163
9,Haciendo functores,0.54,0.58,0.56,66,165
10,estadisticas,0.51,0.54,0.52,72,178
11,intersect,0.51,0.51,0.49,80,200
12,"Generalizando a ap, primera parte",0.69,0.69,0.69,81,202
13,Minimo Común Múltiplo ¡Con infinitas!,0.53,0.52,0.50,81,202
14,fuePareja,0.59,0.60,0.58,87,216
15,filtrar,0.50,0.54,0.52,95,237
16,aplanar,0.60,0.59,0.56,96,238
17,head,0.75,0.73,0.72,101,252
18,"repetirPalabras, variante",0.56,0.55,0.54,102,253
19,elMasWinner,0.71,0.68,0.69,106,265
20,elMejorDelTramo,0.67,0.65,0.64,108,270
21,potenciasDeDos,0.61,0.51,0.44,110,275
22,cifrasBinarias,0.63,0.63,0.62,116,290
23,filter,0.64,0.60,0.60,122,305
24,codigoUnico,0.56,0.64,0.59,125,312
25,Alto en el camino: sinónimos de tipo,0.94,0.94,0.93,124,309
26,cifrasBase,0.68,0.66,0.59,127,317
27,tipos-09 (remix),0.76,0.81,0.75,132,329
28,elNombreDelMejorSegun,0.67,0.71,0.69,136,340
29,"Generalizando a ap, cuarta parte",0.56,0.58,0.55,138,345
30,Multiples generadores,0.67,0.70,0.64,143,357
31,No todo los que brilla...,0.88,0.88,0.85,155,386
32,mayorYMenorSegun,0.74,0.72,0.72,166,413
33,tipos-17,0.61,0.62,0.55,168,418
34,alVesre,0.49,0.54,0.48,186,464
35,Un poco de anatomía,0.73,0.72,0.68,187,467
36,intercalar,0.72,0.76,0.73,190,473
37,tipos-14,0.82,0.78,0.74,189,472
38,La Estructura,0.73,0.74,0.72,188,470
39,zipWith,0.63,0.61,0.60,190,473
40,"Gran poder, gran responsalibidad",1.00,1.00,1.00,1,2
41,tipos-18 (triple punto),0.62,0.70,0.64,188,470
42,tipos-15,0.85,0.83,0.79,194,484
43,tiempo,0.66,0.63,0.63,202,504
44,valorMensual,0.70,0.69,0.68,203,507
45,"totalKilosProductos, de nuevo",0.50,0.50,0.46,204,510
46,hayAlgunNegativo,0.80,0.81,0.78,207,516
47,Generalizando a map,0.52,0.58,0.53,211,526
48,primerosN,0.65,0.59,0.55,223,557
49,El cuento de la buena pipa,0.45,0.53,0.45,230,575
50,sinRepetidos,0.52,0.49,0.48,233,581
51,tipos-05,0.58,0.59,0.47,233,581
52,tipos-11,0.54,0.64,0.59,235,587
53,"estaVacio, con data",0.58,0.61,0.58,238,594
54,Área,0.83,0.82,0.77,244,608
55,Servicios más complejos,0.49,0.51,0.48,247,616
56,podio,0.61,0.63,0.62,249,621
57,tiempoTotal,0.47,0.47,0.44,250,625
58,menoresA,0.48,0.54,0.47,254,633
59,tipos-06,0.55,0.46,0.32,254,634
60,productoria,0.57,0.57,0.55,255,637
61,maximo,0.50,0.53,0.50,262,655
62,Primero lo primero: mapeos,0.80,0.77,0.76,262,653
63,tipos-08,0.53,0.56,0.43,278,694
64,¡Un mundo nuevo!,0.64,0.63,0.62,277,692
65,transformadaLoca,0.51,0.51,0.51,282,705
66,Agregandole azúcar,0.83,0.83,0.82,281,702
67,elementos3-upla,0.80,0.81,0.79,291,727
68,repetirPalabras,0.61,0.66,0.63,290,724
69,parDeFns,0.77,0.75,0.70,300,750
70,estaVacio,0.57,0.56,0.56,303,756
71,"¿Y las funciones, para cuándo?",0.59,0.61,0.57,304,758
72,aprobaron,0.88,0.90,0.88,302,754
73,promedioSegun,0.49,0.54,0.50,310,775
74,El caso base,0.53,0.56,0.52,311,777
75,Cerrando el taller,0.70,0.70,0.70,308,770
76,hayAlgunMultiploDe,0.53,0.52,0.46,324,809
